Length(m),Temp Oil Outlet (C),Temp Water Outlet (C)
1.0,156.4990906673181,35.535694431877346
2.0,153.11040866986016,36.054216308606605
3.0,149.82958142766162,36.556234703996154
4.0,146.65244957493468,37.04238606671715
5.0,143.5750541462644,37.51327618101799
6.0,140.59362467910788,37.969481987229855
7.0,137.7045681569878,38.41155327363277
8.0,134.9044587248156,38.84001425017362
9.0,132.19002811409746,39.25536501356091
10.0,129.55815672144334,39.658082912393795
11.0,127.00586528889647,40.04862382020308
12.0,124.53030713918375,40.42742332358062
13.0,122.1287609231175,40.794897831941356
14.0,119.79862384010659,41.15144561489226
15.0,117.53740529609749,41.49744777266751
16.0,115.34272096630924,41.83326914462386
17.0,113.2122872328778,42.15925916036889
18.0,111.14391597002286,42.47575263771287
19.0,109.1355096516099,42.783070531289084
20.0,107.18505675803732,43.081520635372605
21.0,105.29062746124532,43.37139824414214
22.0,103.45036956834271,43.652986772369196
23.0,101.66250470589549,43.926558339282195
24.0,99.92532472833184,44.192374318137254
25.0,98.23718833520626,44.450685853830215
26.0,96.59651788324074,44.70173435070469
27.0,95.00179638013574,44.945751932546486
28.0,93.45156464812855,45.182961876603976
29.0,91.94441864617536,45.413579023336546
30.0,90.47900694046065,45.63781016346661
31.0,89.05402831369372,45.85585440379502
32.0,87.66822950434769,46.0679035131332
33.0,86.32040306763528,46.27414224960765
34.0,85.00938535060249,46.47474867050259
35.0,83.73405457426216,46.66989442572384
36.0,82.49332901618773,46.85974503589066
37.0,81.28616528744467,47.04446015599249
38.0,80.11155669816172,47.22419382548234
39.0,78.96853170643377,47.39909470561917
40.0,77.85615244560944,47.56930630481615
41.0,76.77351332534852,47.73496719270098
42.0,75.71973970214513,47.89621120354682
43.0,74.6939866152942,48.053167629689426
44.0,73.6954375845472,48.20596140550478
45.0,72.72330346594497,48.354713282484774
46.0,71.77682136254315,48.499539995913395
47.0,70.85525358695787,48.64055442361365
48.0,69.95788667285255,48.77786573720569
49.0,69.0840304326713,48.91157954628847
50.0,68.23301705909005,49.04179803593196
51.0,67.40420026781685,49.168620097842194
52.0,66.59695447951626,49.29214145553979
53.0,65.81067403877148,49.412454783871084
54.0,65.04477246812193,49.52964982315214
55.0,64.29868175533474,49.6438134882275
56.0,63.571851672177516,49.75502997270869
57.0,62.86374912306306,49.86338084864188
58.0,62.17385752203235,49.96894516183933
59.0,61.501676196632815,50.071799523095414
60.0,60.8467198173319,50.17201819549538
61.0,60.208517851184865,50.26967317801281
62.0,59.58661403854886,50.36483428558059
63.0,58.98056589170413,50.45756922580985
64.0,58.38994421430792,50.54794367252105
65.0,57.81433264066621,50.63602133624272
66.0,57.253327193864976,50.721864031824346
67.0,56.70653586185679,50.805531743301806
68.0,56.17357819064637,50.88708268614643
69.0,55.65408489376715,50.96657336702122
70.0,55.14769747728336,51.0440586411615
71.0,54.65406787959425,51.11959176749052
72.0,54.17285812535498,51.19322446157505
73.0,53.70373999286592,51.26500694652006
74.0,53.24639469431497,51.334988001896704
75.0,52.80051256829164,51.40321501079252
76.0,52.365792784019234,51.469734005068574
77.0,51.94194305678364,51.534589708903354
78.0,51.52867937405955,51.59782558069979
79.0,51.12572573186503,51.65948385342716
80.0,50.732813880895236,51.71960557346665
81.0,50.349683082011154,51.778230638025434
82.0,49.976079870679726,51.835397831181055
83.0,49.611757829980306,51.89114485861503
84.0,49.256477371815066,51.9455083810911
85.0,48.910005525974185,51.99852404673162
86.0,48.57211573672677,52.05022652214231
87.0,48.242587666624445,52.10064952243346
88.0,47.92120700721648,52.14982584018346
89.0,47.60776529639422,52.197787373388024
90.0,47.30205974209231,52.244565152436664
91.0,47.0038930520883,52.29018936615604
92.0,46.71307326965611,52.3346893869576
93.0,46.42941361483594,52.37809379512575
94.0,46.15273233109973,52.4204304022805
95.0,45.88285253719617,52.46172627404751
96.0,45.61960208397325,52.50200775196647
97.0,45.36281341598267,52.54130047466785
98.0,45.112323437681226,52.57962939834619
99.0,44.8679733840511,52.617018816557234
100.0,44.629608695470296,52.65349237936473
