Length(m),Temp Oil Outlet (C),Temp Water Outlet (C)
1.0,156.5397933505046,35.52946627836822
2.0,153.18922886672334,36.04215557336136
3.0,149.94408341884593,36.53871409055333
4.0,146.80033748731864,37.01975687993231
5.0,143.7541630621211,37.48586968750263
6.0,140.80191239785617,37.93761067593359
7.0,137.94010755480022,38.375512024944044
8.0,135.16543066250193,38.80008142112554
9.0,132.4747148482969,39.21180344602293
10.0,129.86493577829833,39.61114087049638
11.0,127.33320376309896,39.99853586267373
12.0,124.87675638462757,40.37441111615787
13.0,122.49295160440099,40.73917090457311
14.0,120.17926131684182,41.09320206800934
15.0,117.93326531443097,41.43687493644909
16.0,115.75264563426984,41.770544194832766
17.0,113.63518125816871,42.0945496940289
18.0,111.57874314068357,42.40921721162302
19.0,109.5812895416162,42.7148591661189
20.0,107.64086164139499,43.01177528785452
21.0,105.7555794194861,43.300253249670305
22.0,103.92363777755853,43.5805692601261
23.0,102.14330289056561,43.85298862184332
24.0,100.41290877021572,44.11776625734827
25.0,98.73085402650304,44.37514720460905
26.0,97.09559881406176,44.625367084291604
27.0,95.50566195111172,44.868652540606575
28.0,93.95961819967816,45.10522165747864
29.0,92.45609569660809,45.33528435164156
30.0,90.99377352568033,45.559042744143746
31.0,89.57137942180894,45.776691511641346
32.0,88.18768759899449,45.98841821875606
33.0,86.84151669427213,46.19440363268354
34.0,85.53172782045739,46.39482202115404
35.0,84.25722272099716,46.58984143476939
36.0,83.01694202069847,46.77962397466909
37.0,81.80986356654063,46.964326046412296
38.0,80.63500085317193,47.14409860090167
39.0,79.49140152805984,47.31908736311904
40.0,78.3781459716026,47.489433049390726
41.0,77.29434594782349,47.655271573852666
42.0,76.23914332156053,47.81673424474063
43.0,75.21170883833156,47.973947951090146
44.0,74.21124096330473,48.12703534039236
45.0,73.236964776036,48.27611498771665
46.0,72.28813091784765,48.42130155677836
47.0,71.3640145889232,48.56270595339909
48.0,70.46391459237681,48.7004354717792
49.0,69.58715242272865,48.83459393397548
50.0,68.7330713963768,48.96528182295268
51.0,67.90103582180492,49.09259640955484
52.0,67.09043020740343,49.216631873721155
53.0,66.30065850491135,49.337479420251356
54.0,65.53114338660596,49.455227389407085
55.0,64.78132555447941,49.56996136261879
56.0,64.0506630797454,49.68176426355164
57.0,63.33863077111964,49.7907164547686
58.0,62.64471957040476,49.89689583021547
59.0,61.96843597399891,50.00037790373923
60.0,61.30930147902646,50.10123589383877
61.0,60.66685205286231,50.199540804836076
62.0,60.04063762489319,50.29536150464475
63.0,59.430221599423376,50.38876479930317
64.0,58.83518038869373,50.479815504429894
65.0,58.255102965041445,50.56857651375036
66.0,57.68959043127997,50.6551088648355
67.0,57.13825560843016,50.7394718021854
68.0,56.60072263998212,50.82172283778349
69.0,56.07662661190899,50.901917809240445
70.0,55.56561318769843,50.98011093564011
71.0,55.06733825770554,51.056354871194074
72.0,54.581467602168345,51.130700756805595
73.0,54.10767656726115,51.20319826963857
74.0,53.645649753594356,51.27389567078198
75.0,53.195080716600614,51.342839851095555
76.0,52.75567167827437,51.41007637531814
77.0,52.32713324976122,51.47564952451595
78.0,51.90918416431791,51.53960233694389
79.0,51.501551020188614,51.60197664738952
80.0,51.103968032966364,51.662813125065725
81.0,50.716176797028496,51.72215131011481
82.0,50.33792605565772,51.78002964878363
83.0,49.9689714794779,51.83648552732642
84.0,49.60907545285238,51.8915553046892
85.0,49.258006867909685,51.945274344027126
86.0,48.9155409258786,51.99767704310335
87.0,48.58145894542804,52.04879686361605
88.0,48.255548177723654,52.09866635949767
89.0,47.9376016279259,52.14731720422857
90.0,47.62741788286711,52.194780217205135
91.0,47.32480094465778,52.24108538920064
92.0,47.029560069984186,52.28626190695527
93.0,46.74150961487001,52.33033817693001
94.0,46.4604688846847,52.373341848257795
95.0,46.186261989193426,52.41529983492308
96.0,45.918717702448944,52.456238337200666
97.0,45.65766932733928,52.496182862382
98.0,45.40295456460963,52.53515824481691
99.0,45.15441538618771,52.57318866529684
100.0,44.911897912647106,52.61029766980486
